team_name,label,date,points,Home_Away,teamId,competitionId,seasonId,roundId,matchId,average_accelerations,average_aerialDuels,average_assists,average_attackingActions,average_backPasses,average_ballLosses,average_ballRecoveries,average_concededGoals,average_corners,average_crosses,average_dangerousOpponentHalfRecoveries,average_dangerousOwnHalfLosses,average_defensiveActions,average_defensiveDuels,average_defensiveDuelsWon,average_directFreeKicks,average_directFreeKicksOnTarget,average_directRedCards,average_dribbleDistanceFromOpponentGoal,average_dribbles,average_duels,average_duelsWon,average_fieldAerialDuels,average_fieldAerialDuelsWon,average_forwardPasses,average_fouls,average_freeKicks,average_freeKicksOnTarget,average_gkAerialDuels,average_gkAerialDuelsWon,average_gkExits,average_gkGoalKicks,average_gkGoalKicksSuccess,average_gkSaves,average_gkSuccessfulExits,average_goals,average_headShots,average_interceptions,average_keyPasses,average_lateralPasses,average_linkupPlays,average_longGoalKicks,average_longPassLength,average_longPasses,average_looseBallDuels,average_looseBallDuelsWon,average_missedBalls,average_newDefensiveDuelsWon,average_newDuelsWon,average_newOffensiveDuelsWon,average_newSuccessfulDribbles,average_offensiveDuels,average_offensiveDuelsWon,average_offsides,average_opponentHalfRecoveries,average_opponentOffsides,average_ownHalfLosses,average_passLength,average_passes,average_passesToFinalThird,average_penalties,average_possessionPercent,average_progressiveRun,average_receivedPass,average_redCards,average_shortGoalKicks,average_shotAssists,average_shotOnTargetAssists,average_shots,average_shotsAgainst,average_smartPasses,average_successfulAttackingActions,average_successfulBackPasses,average_successfulCrosses,average_successfulDefensiveAction,average_successfulDribbles,average_successfulForwardPasses,average_successfulKeyPasses,average_successfulLateralPasses,average_successfulLinkupPlays,average_successfulLongPasses,average_successfulPasses,average_successfulPassesToFinalThird,average_successfulPenalties,average_successfulSmartPasses,average_successfulThroughPasses,average_successfulVerticalPasses,average_throughPasses,average_touchInBox,average_verticalPasses,average_xgShot,average_xgShotAgainst,average_yellowCards,percent_aerialDuelsWon,percent_defensiveDuelsWon,percent_directFreeKicksOnTarget,percent_duelsWon,percent_fieldAerialDuelsWon,percent_gkAerialDuelsWon,percent_gkSaves,percent_gkSuccessfulExits,percent_goalConversion,percent_headShotsOnTarget,percent_newDefensiveDuelsWon,percent_newDuelsWon,percent_newOffensiveDuelsWon,percent_newSuccessfulDribbles,percent_offensiveDuelsWon,percent_penaltiesConversion,percent_shotsOnTarget,percent_successfulBackPasses,percent_successfulCrosses,percent_successfulDribbles,percent_successfulForwardPasses,percent_successfulKeyPasses,percent_successfulLateralPasses,percent_successfulLinkupPlays,percent_successfulLongPasses,percent_successfulPasses,percent_successfulPassesToFinalThird,percent_successfulShotAssists,percent_successfulSmartPasses,percent_successfulThroughPasses,percent_successfulTouchInBox,percent_successfulVerticalPasses,percent_win,percent_yellowCardsPerFoul,total_accelerations,total_aerialDuels,total_aerialDuelsWon,total_assists,total_attackingActions,total_backPasses,total_cleanSheets,total_concededGoals,total_corners,total_crosses,total_dangerousOpponentHalfRecoveries,total_dangerousOwnHalfLosses,total_defensiveActions,total_defensiveDuels,total_defensiveDuelsWon,total_directFreeKicks,total_directFreeKicksOnTarget,total_directRedCards,total_dribbles,total_duels,total_duelsWon,total_fieldAerialDuels,total_fieldAerialDuelsWon,total_forwardPasses,total_fouls,total_freeKicks,total_freeKicksOnTarget,total_gkAerialDuels,total_gkAerialDuelsWon,total_gkExits,total_gkGoalKicks,total_gkGoalKicksSuccess,total_gkSaves,total_gkSuccessfulExits,total_goals,total_headShots,total_interceptions,total_keyPasses,total_lateralPasses,total_linkupPlays,total_longGoalKicks,total_longPasses,total_looseBallDuels,total_looseBallDuelsWon,total_losses,total_matches,total_matchesTagged,total_missedBalls,total_newDefensiveDuelsWon,total_newDuelsWon,total_newOffensiveDuelsWon,total_newSuccessfulDribbles,total_offensiveDuels,total_offensiveDuelsWon,total_offsides,total_opponentHalfRecoveries,total_opponentOffsides,total_ownHalfLosses,total_passes,total_passesToFinalThird,total_penalties,total_ppda,total_pressingDuels,total_pressingDuelsWon,total_progressiveRun,total_receivedPass,total_recoveries,total_redCards,total_shortGoalKicks,total_shotAssists,total_shotOnTargetAssists,total_shots,total_shotsAgainst,total_smartPasses,total_successfulAttackingActions,total_successfulBackPasses,total_successfulCrosses,total_successfulDefensiveActions,total_successfulDribbles,total_successfulForwardPasses,total_successfulKeyPasses,total_successfulLateralPasses,total_successfulLinkupPlays,total_successfulLongPasses,total_successfulPasses,total_successfulPassesToFinalThird,total_successfulPenalties,total_successfulSmartPasses,total_successfulThroughPasses,total_successfulVerticalPasses,total_throughPasses,total_touchInBox,total_verticalPasses,total_xgShot,total_xgShotAgainst,total_yellowCards
UTA Arad,"UTA Arad - Farul Constanţa, 2-1",2025-08-09 17:30:00,3,Home,30817,719,191642,4435361,5715719,0.89,39.21,1.78,36.53,41.88,120.3,75.74,0.89,2.67,5.35,7.13,9.8,145.2,63.27,11.58,0.89,0,0,21.1,17.82,181.8,65.05,35.64,16.93,90,5.35,5.35,3.56,0.89,0.89,2.67,13.37,7.13,5.35,0,1.78,1.78,42.77,5.35,70.4,0.89,7.13,24.29,30.3,22.28,9.8,3.56,38.32,88.22,21.39,8.91,57.03,24.95,0.89,24.95,0.89,41.88,15.7,252.2,24.95,0,38.3,9.8,154.2,0,6.24,8.02,5.35,13.37,19.6,0,16.04,36.53,0.89,99.8,10.69,55.25,5.35,57.03,0.89,16.93,188.9,8.91,0,0,0,57.03,0.89,16.04,70.4,2.17,3.15,0.89,47.73,18.31,0,35.78,47.5,100,0,0,13.33,50,60.56,48.53,37.5,50,43.75,0,46.67,87.23,16.67,60,61.39,100,81.01,100,55.88,74.91,35.71,55.56,0,0,55.56,81.01,100,16.67,1,44,21,2,41,47,0,1,3,6,8,11,163,71,13,1,0,0,20,204,73,40,19,101,6,6,4,1,1,3,15,8,6,0,2,2,48,6,79,1,8,34,25,11,135,1,1,4,43,99,24,10,64,28,1,28,1,47,283,28,0,14.73,2,0,11,173,85,0,7,9,6,15,22,0,18,41,1,112,12,62,6,64,1,19,212,10,0,0,0,64,1,18,79,2.44,3.54,1
Farul Constanţa,"UTA Arad - Farul Constanţa, 2-1",2025-08-09 17:30:00,0,Away,61242,719,191642,4435361,5715719,3.56,39.21,0.89,72.18,57.03,103.4,87.33,1.78,9.8,29.41,7.13,8.91,132.8,57.03,14.26,0,0,0,14.23,23.17,181.8,70.4,33.86,15.15,136.3,15.15,0.89,0,0.89,0.89,0,4.46,4.46,4.46,0,0.89,2.67,36.53,6.24,157.7,2.67,2.67,29.6,44.55,22.28,8.91,3.56,35.64,87.33,24.95,14.26,63.27,29.41,0.89,24.95,0.89,36.53,18.99,413.5,51.68,0,61.7,25.84,289.6,0,3.56,13.37,6.24,19.6,13.37,0,29.41,54.36,8.91,90,18.71,110.5,6.24,130.1,1.78,30.3,339.5,41.88,0,0,4.46,130.1,6.24,37.43,157.7,3.15,2.17,0,45.45,25,0,38.73,44.74,100,0,0,4.545,33.33,62.5,48.04,39.44,61.54,46.48,0,31.82,95.31,30.3,80.77,81.05,100,82.49,66.67,68,82.11,81.03,66.67,0,71.43,45.24,82.49,0,0,4,44,20,1,81,64,0,2,11,33,8,10,149,64,16,0,0,0,26,204,79,38,17,153,17,1,0,1,1,0,5,5,5,0,1,3,41,7,177,3,3,50,25,10,116,1,1,4,40,98,28,16,71,33,1,28,1,41,464,58,0,6.8,3,0,29,325,98,0,4,15,7,22,15,0,33,61,10,101,21,124,7,146,2,34,381,47,0,0,5,146,7,42,177,3.54,2.44,0
Hermannstadt,"Hermannstadt - Csikszereda Miercurea Ciuc, 0-2",2025-10-20 17:00:00,0,Home,55427,719,191642,4435361,5715778,6.24,47.23,0,62.38,62.38,106.9,92.67,1.78,3.56,26.73,3.56,1.78,123,51.68,19.6,0.89,0.89,0,17.89,21.39,204.9,83.76,45.45,22.28,163.1,10.69,4.46,2.67,0.89,0.89,0.89,4.46,3.56,0,0,0,1.78,24.06,7.13,146.1,8.02,2.67,32.03,49.01,38.32,10.69,7.13,40.1,98.91,24.06,11.58,67.72,29.41,4.46,33.86,0,26.73,18.38,455.4,69.5,0,60.8,21.39,319.9,0,2.67,9.8,7.13,14.26,4.46,0,25.84,60.59,8.91,88.22,14.26,127.4,7.13,125.6,4.46,32.97,383.2,53.47,0,0,0,125.6,2.67,20.5,146.1,1.11,0.73,2.67,50.94,37.93,100,40.87,49.02,100,0,0,0,50,77.59,48.26,35.53,54.17,43.42,0,37.5,97.14,33.33,66.67,78.14,100,85.98,55.56,67.27,84.15,76.92,27.27,0,0,39.13,85.98,0,25,7,53,27,0,70,70,0,2,4,30,4,2,138,58,22,1,1,0,24,230,94,51,25,183,12,5,3,1,1,1,5,4,0,0,0,2,27,8,164,9,3,55,43,12,120,1,1,8,45,111,27,13,76,33,5,38,0,30,511,78,0,6.07,5,0,24,359,104,0,3,11,8,16,5,0,29,68,10,99,16,143,8,141,5,37,430,60,0,0,0,141,3,23,164,1.25,0.82,3
Csikszereda Miercurea Ciuc,"Petrolul 52 - Csikszereda Miercurea Ciuc, 1-1",2026-03-01 14:45:00,1,Away,22731,719,191642,4435361,5715905,0,32.4,0,31.5,20.7,118.8,88.2,0.9,0.9,8.1,1.8,7.2,137.7,58.5,10.8,0,0,0,19.67,18,181.8,65.7,28.8,10.8,98.1,18,0.9,0.9,0.9,0,4.5,3.6,3.6,2.7,0,0.9,0,46.8,0.9,68.4,0,3.6,29.22,51.3,30.6,12.6,4.5,31.5,81,26.1,9.9,60.3,31.5,0,17.1,0.9,47.7,19.4,214.2,36,0.9,34,9,108,0,3.6,1.8,0.9,5.4,9.9,0,15.3,18,2.7,89.1,12.6,58.5,0.9,54.9,0,21.6,150.3,21.6,0.9,0,1.8,54.9,3.6,6.3,68.4,1.09,0.83,2.7,33.33,18.46,0,36.14,37.5,0,0,0,16.67,0,53.85,44.55,43.28,55,52.24,100,50,86.96,33.33,70,59.63,100,80.26,0,42.11,70.17,60,100,0,50,57.14,80.26,0,15,0,36,12,0,35,23,0,1,1,9,2,8,153,65,12,0,0,0,20,202,73,32,12,109,20,1,1,1,0,5,4,4,3,0,1,0,52,1,76,0,4,57,34,14,132,1,1,5,35,90,29,11,67,35,0,19,1,53,238,40,1,9.41,2,0,10,120,98,0,4,2,1,6,11,0,17,20,3,99,14,65,1,61,0,24,167,24,1,0,2,61,4,7,76,1.21,0.92,3
Universitatea Craiova,"Universitatea Craiova - Hermannstadt, 1-0",2025-08-10 17:30:00,3,Home,26233,719,191642,4435361,5715718,3.6,21.6,0,30.6,57.6,74.7,62.1,0,1.8,4.5,1.8,1.8,127.8,75.6,18,0,0,0,15.54,13.5,168.3,54,18,9.9,126,8.1,1.8,1.8,0.9,0.9,1.8,7.2,5.4,2.7,0,0.9,0.9,30.6,0.9,196.2,27,2.7,23.84,32.4,26.1,10.8,3.6,43.2,76.5,11.7,6.3,45,14.4,0.9,9.9,1.8,24.3,19.35,444.6,35.1,0,54.9,16.2,357.3,0,4.5,6.3,0.9,10.8,10.8,1.8,11.7,53.1,0.9,84.6,7.2,96.3,0,186.3,18.9,22.5,391.5,26.1,0,0,0,186.3,3.6,10.8,196.2,1.18,1.46,1.8,50,23.81,0,32.09,55,100,0,0,8.333,0,57.14,45.45,26,46.67,32,0,41.67,92.19,20,53.33,76.43,0,94.95,70,69.44,88.06,74.36,42.86,0,0,25,94.95,100,22.22,4,24,12,0,34,64,1,0,2,5,2,2,142,84,20,0,0,0,15,187,60,20,11,140,9,2,2,1,1,2,8,6,3,0,1,1,34,1,218,30,3,36,29,12,83,1,1,4,48,85,13,7,50,16,1,11,2,27,494,39,0,11.37,18,0,18,397,69,0,5,7,1,12,12,2,13,59,1,94,8,107,0,207,21,25,435,29,0,0,0,207,4,12,218,1.31,1.62,2
Botoşani,"Botoşani - Unirea Slobozia, 4-0",2025-07-28 18:00:00,3,Home,11634,719,191642,4435361,5715702,2.7,25.2,2.7,30.6,56.7,97.2,61.2,0,1.8,7.2,0,3.6,104.4,58.5,14.4,0,0,0,21.11,17.1,154.8,58.5,23.4,8.1,128.7,12.6,0,0,0.9,0.9,3.6,9,8.1,2.7,0,3.6,0,20.7,1.8,107.1,8.1,5.4,33.26,51.3,23.4,10.8,5.4,36,75.6,18.9,9.9,47.7,23.4,2.7,15.3,7.2,27.9,17.95,347.4,43.2,0,53.2,13.5,234,0.9,3.6,5.4,1.8,6.3,7.2,0,14.4,53.1,0.9,66.6,11.7,82.8,1.8,94.5,6.3,24.3,276.3,21.6,0,0,0.9,94.5,1.8,14.4,107.1,1.5,0.39,1.8,39.29,24.62,0,37.79,34.62,100,0,0,57.14,0,61.54,48.84,39.62,57.89,49.06,0,57.14,93.65,12.5,68.42,64.34,100,88.24,77.78,47.37,79.53,50,33.33,0,50,68.75,88.24,100,14.29,3,28,11,3,34,63,1,0,2,8,0,4,116,65,16,0,0,0,19,172,65,26,9,143,14,0,0,1,1,4,10,9,3,0,4,0,23,2,119,9,6,57,26,12,108,1,1,6,40,84,21,11,53,26,3,17,8,31,386,48,0,11.42,10,0,15,260,68,1,4,6,2,7,8,0,16,59,1,74,13,92,2,105,7,27,307,24,0,0,1,105,2,16,119,1.67,0.43,2
Csikszereda Miercurea Ciuc,"UTA Arad - Csikszereda Miercurea Ciuc, 0-0",2025-09-27 14:00:00,1,Away,22731,719,191642,4435361,5715767,0,38.7,0,59.4,46.8,118.8,97.2,0,2.7,17.1,2.7,12.6,159.3,82.8,19.8,0,0,0,21.17,27.9,223.2,90.9,36.9,20.7,145.8,9.9,0,0,0.9,0.9,3.6,13.5,11.7,2.7,0,0,0.9,37.8,1.8,166.5,8.1,7.2,23.86,44.1,33.3,15.3,3.6,51.3,119.7,31.5,21.6,68.4,34.2,1.8,19.8,0,42.3,17.75,441.9,47.7,0,53.7,23.4,310.5,0,7.2,5.4,1.8,11.7,13.5,2.7,28.8,45,3.6,110.7,22.5,101.7,1.8,144.9,5.4,24.3,358.2,36.9,0,0,0,144.9,8.1,14.4,166.5,0.81,1.24,3.6,55.81,23.91,0,40.73,56.1,100,0,0,0,100,61.96,53.63,46.05,77.42,50,0,30.77,96.15,21.05,80.65,69.75,100,87.03,66.67,55.1,81.06,77.36,16.67,0,0,31.25,87.03,0,36.36,0,43,24,0,66,52,1,0,3,19,3,14,177,92,22,0,0,0,31,248,101,41,23,162,11,0,0,1,1,4,15,13,3,0,0,1,42,2,185,9,8,49,37,17,132,1,1,4,57,133,35,24,76,38,2,22,0,47,491,53,0,9.84,2,0,26,345,108,0,8,6,2,13,15,3,32,50,4,123,25,113,2,161,6,27,398,41,0,0,0,161,9,16,185,0.9,1.38,4
Hermannstadt,"Universitatea Craiova - Hermannstadt, 1-0",2025-08-10 17:30:00,0,Away,55427,719,191642,4435361,5715718,0,21.6,0,62.1,44.1,78.3,55.8,0.9,9,15.3,2.7,3.6,83.7,45,14.4,0,0,0,24.69,35.1,168.3,72,19.8,5.4,117.9,7.2,0,0,0.9,0.9,0.9,7.2,7.2,3.6,0,0,1.8,17.1,1.8,141.3,7.2,1.8,24.72,36,26.1,11.7,8.1,33.3,83.7,32.4,20.7,75.6,39.6,1.8,19.8,0.9,17.1,17.24,366.3,36.9,0,45.1,22.5,264.6,0,5.4,5.4,1.8,10.8,10.8,0.9,28.8,42.3,4.5,56.7,22.5,88.2,1.8,126,4.5,20.7,309.6,25.2,0,0.9,2.7,126,3.6,21.6,141.3,1.46,1.18,1.8,29.17,32,0,42.78,27.27,100,0,0,0,0,74,49.73,42.86,58.97,52.38,0,25,95.92,29.41,64.1,74.81,100,89.17,62.5,57.5,84.52,68.29,83.33,100,75,33.33,89.17,0,25,0,24,7,0,69,49,0,1,10,17,3,4,93,50,16,0,0,0,39,187,80,22,6,131,8,0,0,1,1,1,8,8,4,0,0,2,19,2,157,8,2,40,29,13,87,1,1,9,37,93,36,23,84,44,2,22,1,19,407,41,0,15.35,2,0,25,294,62,0,6,6,2,12,12,1,32,47,5,63,25,98,2,140,5,23,344,28,0,1,3,140,4,24,157,1.62,1.31,2
Metaloglobus,"Dinamo Bucureşti - Metaloglobus, 4-0",2025-12-14 16:45:00,0,Away,11943,719,191642,4435361,5715835,1.8,29.7,0,41.4,41.4,91.8,64.8,3.6,7.2,14.4,0.9,8.1,120.6,52.2,15.3,0.9,0,0,22.66,17.1,158.4,48.6,27.9,9,108.9,3.6,0.9,0,0.9,0.9,0.9,7.2,6.3,1.8,0,0,0.9,38.7,1.8,96.3,3.6,7.2,17.55,37.8,15.3,2.7,3.6,35.1,63,15.3,8.1,61.2,20.7,0.9,16.2,1.8,33.3,17.3,300.6,30.6,0,43.5,9,183.6,0,3.6,6.3,1.8,9.9,14.4,0,16.2,36.9,5.4,83.7,12.6,76.5,0.9,82.8,1.8,15.3,234.9,12.6,0,0,0,82.8,0.9,12.6,96.3,0.62,2.33,0.9,33.33,29.31,0,30.68,32.26,100,0,0,0,0,67.24,39.77,25,47.37,33.82,0,27.27,89.13,37.5,73.68,70.25,50,85.98,50,40.48,78.14,41.18,42.86,0,0,42.86,85.98,0,25,2,33,11,0,46,46,0,4,8,16,1,9,134,58,17,1,0,0,19,176,54,31,10,121,4,1,0,1,1,1,8,7,2,0,0,1,43,2,107,4,8,42,17,3,102,1,1,4,39,70,17,9,68,23,1,18,2,37,334,34,0,13.15,8,0,10,204,72,0,4,7,2,11,16,0,18,41,6,93,14,85,1,92,2,17,261,14,0,0,0,92,1,14,107,0.69,2.59,1
UTA Arad,"UTA Arad - Csikszereda Miercurea Ciuc, 0-0",2025-09-27 14:00:00,1,Home,30817,719,191642,4435361,5715767,0.9,38.7,0,73.8,52.2,112.5,83.7,0,5.4,23.4,5.4,0,148.5,68.4,18,0,0,0,23.21,36,223.2,85.5,30.6,9,128.7,7.2,0,0,0.9,0.9,1.8,4.5,4.5,3.6,0,0,0,41.4,2.7,107.1,3.6,4.5,28.38,37.8,33.3,12.6,3.6,36.9,94.5,31.5,20.7,82.8,41.4,0,26.1,1.8,25.2,19.62,337.5,45,0,46.3,26.1,219.6,0.9,0.9,6.3,2.7,13.5,11.7,0.9,27.9,50.4,3.6,91.8,26.1,86.4,2.7,89.1,2.7,18,261.9,24.3,0,0.9,0,89.1,0.9,24.3,107.1,1.24,0.81,0.9,34.88,26.32,0,38.31,29.41,100,0,0,0,0,53.95,42.34,38.04,57.5,50,0,20,96.55,15.38,72.5,67.13,100,83.19,75,47.62,77.6,54,28.57,100,0,25.93,83.19,0,12.5,1,43,15,0,82,58,1,0,6,26,6,0,165,76,20,0,0,0,40,248,95,34,10,143,8,0,0,1,1,2,5,5,4,0,0,0,46,3,119,4,5,42,37,14,125,1,1,4,41,105,35,23,92,46,0,29,2,28,375,50,0,10.88,7,0,29,244,93,1,1,7,3,15,13,1,31,56,4,102,29,96,3,99,3,20,291,27,0,1,0,99,1,27,119,1.38,0.9,1
Rapid Bucureşti,"Farul Constanţa - Rapid Bucureşti, 3-1",2026-02-15 16:00:00,0,Away,11566,719,191642,4435361,5715892,2.7,38.7,0.9,69.3,47.7,124.2,92.7,2.7,6.3,27,4.5,3.6,123.3,49.5,10.8,0,0,0,13.24,27.9,183.6,69.3,33.3,11.7,147.6,8.1,3.6,0.9,0.9,0,0.9,1.8,1.8,1.8,0,0.9,3.6,35.1,4.5,133.2,9,1.8,35.13,52.2,30.6,16.2,3.6,27.9,81.9,26.1,18.9,64.8,30.6,0,35.1,0.9,35.1,17.68,412.2,55.8,0,55.3,9.9,266.4,0,4.5,8.1,4.5,13.5,10.8,0.9,27.9,42.3,6.3,74.7,19.8,99.9,4.5,103.5,6.3,32.4,316.8,32.4,0,0,0.9,103.5,7.2,18.9,133.2,1.52,2.3,1.8,30.23,21.82,0,37.75,35.14,0,0,0,6.667,0,56.36,44.61,40.28,67.74,47.22,0,20,88.68,23.33,70.97,67.68,100,77.7,70,62.07,76.86,58.06,55.56,0,12.5,42.86,77.7,0,22.22,3,43,13,1,77,53,0,3,7,30,5,4,137,55,12,0,0,0,31,204,77,37,13,164,9,4,1,1,0,1,2,2,2,0,1,4,39,5,148,10,2,58,34,18,138,1,1,4,31,91,29,21,72,34,0,39,1,39,458,62,0,13.79,9,0,11,296,103,0,5,9,5,15,12,1,31,47,7,83,22,111,5,115,7,36,352,36,0,0,1,115,8,21,148,1.69,2.55,2
Oţelul,"Oţelul - Hermannstadt, 0-2",2026-03-08 13:30:00,0,Home,11571,719,191642,4435361,5715914,0,50,0,33.64,37.27,113.6,81.82,1.82,1.82,9.09,1.82,2.73,131.8,46.36,8.18,0,0,1.82,16.28,20,169.1,72.73,49.09,20.91,109.1,7.27,5.45,2.73,0.91,0.91,0.91,8.18,7.27,3.64,0,0,0.91,35.45,0,61.82,6.36,8.18,25.34,59.09,23.64,12.73,9.09,30,91.82,27.27,14.55,49.09,30,4.55,23.64,0.91,37.27,18.15,260,46.36,0,41.5,5.45,145.4,2.73,0,1.82,0,3.64,10.91,0.91,17.27,31.82,2.73,87.27,18.18,67.27,0,54.55,5.45,33.64,190,28.18,0,0,1.82,54.55,6.36,10.91,61.82,0.03,1.45,1.82,43.64,17.65,0,43.01,42.59,100,0,0,0,0,64.71,54.3,55.56,72.73,61.11,0,0,85.37,30,90.91,61.67,0,88.24,85.71,56.92,73.08,60.78,100,0,28.57,25,88.24,0,25,0,55,24,0,37,41,0,2,2,10,2,3,145,51,9,0,0,2,22,186,80,54,23,120,8,6,3,1,1,1,9,8,4,0,0,1,39,0,68,7,9,65,26,14,125,1,1,10,33,101,30,16,54,33,5,26,1,41,286,51,0,13.5,9,0,6,160,90,3,0,2,0,4,12,1,19,35,3,96,20,74,0,60,6,37,209,31,0,0,2,60,7,12,68,0.03,1.59,2
Petrolul 52,"Rapid Bucureşti - Petrolul 52, 1-1",2026-02-06 19:00:00,1,Away,60390,719,191642,4435361,5715884,0.91,38.18,0.91,17.27,41.82,94.55,62.73,0.91,2.73,3.64,0,10.91,154.6,62.73,10.91,0,0,0,13.98,7.27,165.4,53.64,30.91,16.36,108.2,16.36,0,0,0.91,0,4.55,8.18,5.45,2.73,0,0.91,1.82,53.64,0,69.09,7.27,7.27,22.98,37.27,27.27,8.18,5.45,39.09,79.09,13.64,2.73,37.27,16.36,0.91,8.18,3.64,50,18.02,248.2,23.64,0,32.7,9.09,173.6,0.91,1.82,3.64,0,5.45,17.27,0.91,4.55,39.09,0.91,110.9,3.64,67.27,0,62.73,7.27,18.18,195.4,14.55,0,0,0,62.73,2.73,6.36,69.09,0.67,1.62,4.55,47.62,17.39,0,32.42,52.94,0,0,0,16.67,50,62.32,47.8,36.59,37.5,43.9,0,16.67,93.48,25,50,62.18,0,90.79,100,48.78,78.75,61.54,50,0,0,14.29,90.79,0,27.78,1,42,20,1,19,46,0,1,3,4,0,12,170,69,12,0,0,0,8,182,59,34,18,119,18,0,0,1,0,5,9,6,3,0,1,2,59,0,76,8,8,41,30,9,104,1,1,6,43,87,15,3,41,18,1,9,4,55,273,26,0,16.1,19,0,10,191,69,1,2,4,0,6,19,1,5,43,1,122,4,74,0,69,8,20,215,16,0,0,0,69,3,7,76,0.74,1.78,5
Metaloglobus,"Csikszereda Miercurea Ciuc - Metaloglobus, 2-2",2025-09-22 17:00:00,1,Away,11943,719,191642,4435361,5715753,3.64,26.36,0,49.09,65.45,76.36,60,1.82,6.36,13.64,3.64,7.27,121.8,59.09,9.09,0,0,0,15.39,18.18,159.1,50.91,24.55,8.18,154.6,9.09,0,0,0.91,0.91,0.91,10,9.09,2.73,0,1.82,0.91,36.36,0.91,141.8,10,7.27,29.21,34.55,26.36,10.91,3.64,32.73,68.18,14.55,12.73,47.27,20.91,0.91,20,2.73,24.55,20.33,415.4,53.64,0,54.9,20.91,306.4,0,2.73,10,0.91,16.36,16.36,0.91,27.27,62.73,5.45,79.09,15.45,117.3,0.91,126.4,6.36,18.18,348.2,34.55,0,0,0.91,126.4,1.82,12.73,141.8,1.39,2.27,2.73,37.93,15.38,0,32,33.33,100,0,0,11.11,100,55.38,42.86,30.77,70,44.23,0,55.56,95.83,40,85,75.88,100,89.1,63.64,52.63,83.81,64.41,54.55,0,50,42.86,89.1,0,30,4,29,11,0,54,72,0,2,7,15,4,8,134,65,10,0,0,0,20,175,56,27,9,170,10,0,0,1,1,1,11,10,3,0,2,1,40,1,156,11,8,38,29,12,84,1,1,4,36,75,16,14,52,23,1,22,3,27,457,59,0,8.59,10,0,23,337,66,0,3,11,1,18,18,1,30,69,6,87,17,129,1,139,7,20,383,38,0,0,1,139,2,14,156,1.53,2.5,3
Rapid Bucureşti,"FCS Bucureşti - Rapid Bucureşti, 2-1",2025-12-21 19:00:00,0,Away,11566,719,191642,4435361,5715845,2.73,30,0,24.55,52.73,106.4,70.91,1.82,1.82,10,3.64,6.36,117.3,57.27,11.82,0,0,0,10.87,7.27,160.9,59.09,26.36,12.73,147.3,11.82,2.73,0.91,0.91,0.91,0.91,5.45,5.45,1.82,0,0.91,0.91,30,0.91,109.1,6.36,0,35.32,48.18,12.73,6.36,5.45,36.36,78.18,21.82,3.64,60.91,27.27,2.73,22.73,0.91,34.55,18.25,360.9,40.91,0.91,48.9,13.64,249.1,0,10,3.64,0.91,7.27,10.91,0,8.18,45.45,1.82,80,4.55,106.4,0.91,95.45,4.55,27.27,290,26.36,0.91,0,0.91,95.45,1.82,10.91,109.1,1,1.33,3.64,45.45,20.63,0,36.72,48.28,100,0,0,12.5,0,63.49,48.59,35.82,50,44.78,100,37.5,86.21,18.18,62.5,72.22,100,87.5,71.43,56.6,80.35,64.44,0,0,50,41.67,87.5,0,30.77,3,33,15,0,27,58,0,2,2,11,4,7,129,63,13,0,0,0,8,177,65,29,14,162,13,3,1,1,1,1,6,6,2,0,1,1,33,1,120,7,0,53,14,7,117,1,1,6,40,86,24,4,67,30,3,25,1,38,397,45,1,12.58,5,0,15,274,78,0,11,4,1,8,12,0,9,50,2,88,5,117,1,105,5,30,319,29,1,0,1,105,2,12,120,1.1,1.46,4
Csikszereda Miercurea Ciuc,"Csikszereda Miercurea Ciuc - Dinamo Bucureşti, 2-2",2025-07-14 20:30:00,1,Home,22731,719,191642,4435361,5715687,1.82,23.64,0.91,21.82,30,99.09,75.45,1.82,0,5.45,0.91,8.18,117.3,56.36,14.55,0,0,0,17.99,11.82,145.4,55.45,20.91,9.09,95.45,11.82,0.91,0,0.91,0.91,6.36,5.45,5.45,8.18,0,1.82,0,37.27,1.82,54.55,5.45,6.36,30.31,41.82,20.91,9.09,5.45,30.91,68.18,16.36,5.45,44.55,20,1.82,12.73,0.91,46.36,19.41,201.8,29.09,0,29.4,7.27,108.2,0,2.73,3.64,1.82,4.55,15.45,0,10,26.36,2.73,80,6.36,57.27,1.82,41.82,3.64,16.36,140,14.55,0,0,0.91,41.82,2.73,4.55,54.55,0.29,1.46,0.91,50,25.81,0,38.13,43.48,100,0,0,20,0,54.84,46.88,36.73,46.15,44.9,0,40,87.88,50,53.85,60,100,76.67,66.67,39.13,69.37,50,50,0,33.33,20,76.67,0,7.692,2,26,13,1,24,33,0,2,0,6,1,9,129,62,16,0,0,0,13,160,61,23,10,105,13,1,0,1,1,7,6,6,9,0,2,0,41,2,60,6,7,46,23,10,109,1,1,6,34,75,18,6,49,22,2,14,1,51,222,32,0,30.62,12,0,8,119,83,0,3,4,2,5,17,0,11,29,3,88,7,63,2,46,4,18,154,16,0,0,1,46,3,5,60,0.32,1.61,1
